Account_Name,Salesforce_ID,Industry,Geography,CSM,Account_Executive,Contract_Start,Contract_End,ARR,New_ARR,ARR_Delta,Renewal_Outcome,Churned,Churn_Reason,Health_Score_Overall,Health_Label,Health_Support,Health_NPS,Health_Usage,Health_Adoption,Health_Engagement,Health_Risk_Score,Risk_Identified,Account_Summary
Elevate Innovations,001K3OMD4PORU09,Professional Services,APAC,Connor Walsh,Ethan Graves,2023-06-11,2024-06-10,50000,63000,13000,Renewal Up,No,,99,Green,100,97,100,100,100,91,Open critical support tickets,"CSM: Connor Walsh proactively identified and resolved an integration risk ahead of renewal. AE: Ethan Graves positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($13,000). Health: Green. Outcome: Renewal Up."
Keystone Software,001PRR7MZAKGMIH,Technology,Southern Europe,Tyler Henson,Chloe Dupont,2023-11-15,2024-11-14,586000,700000,114000,Renewal Up,No,,75,Green,78,77,67,85,68,81,None identified,"CSM: Tyler Henson proactively identified and resolved an integration risk ahead of renewal. AE: Chloe Dupont secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($114,000). Health: Green. Outcome: Renewal Up."
Synergy Global,001YDRGFR27RIU9,Technology,Middle East,Marcus Rivera,David Kim,2023-09-07,2024-09-06,108000,108000,0,Renewal Flat,No,,79,Green,70,94,71,79,82,72,Low NPS score,CSM: Marcus Rivera established multi-threaded relationships across IT and business units. AE: David Kim secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Ascend Labs,001211U645VDB82,Telecommunications,Nordics,James Thornton,Megan Foster,2023-07-05,2024-07-04,693000,774000,81000,Renewal Up,No,,95,Green,100,100,100,79,100,93,Low executive engagement,"CSM: James Thornton reports strong adoption and positive QBR outcomes. AE: Megan Foster secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($81,000). Health: Green. Outcome: Renewal Up."
Vanguard Capital,001KPS0DXME4PO1,Real Estate,Midwest US,Marcus Rivera,Jason Whitmore,2023-04-27,2024-04-26,55000,61000,6000,Renewal Up,No,,57,Yellow,50,53,64,66,55,53,None identified,"CSM: Marcus Rivera established multi-threaded relationships across IT and business units. AE: Jason Whitmore closed renewal with a 10% ARR increase. Prediction: Likely to renew. ARR movement: up ($6,000). Health: Yellow. Outcome: Renewal Up."
Horizon Networks,001OOQ42NBFA37D,Financial Services,UK & Ireland,Priya Nair,Nathan Webb,2023-08-03,2024-08-02,200000,288000,88000,Renewal Up,No,,59,Yellow,60,68,59,43,67,57,Low executive engagement,"CSM: Priya Nair established multi-threaded relationships across IT and business units. AE: Nathan Webb aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($88,000). Health: Yellow. Outcome: Renewal Up."
Ironwood Data,001Z5ZLM36VFOX5,Telecommunications,Southwest US,Marcus Rivera,Nathan Webb,2023-09-19,2024-09-18,426000,539000,113000,Renewal Up,No,,64,Yellow,58,57,73,66,68,79,Declining usage trend,"CSM: Marcus Rivera navigated a champion change successfully; new stakeholder is engaged. AE: Nathan Webb is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($113,000). Health: Yellow. Outcome: Renewal Up."
Solara Global,001S1FB2VI109DC,Healthcare,Northeast US,Natalie Bergmann,Alicia Torres,2024-01-01,2024-12-31,155000,224000,69000,Renewal Up,No,,91,Green,100,81,92,87,96,100,Low executive engagement,"CSM: Natalie Bergmann established multi-threaded relationships across IT and business units. AE: Alicia Torres positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($69,000). Health: Green. Outcome: Renewal Up."
Meridia Data,001TVMK2ZYZSILU,Technology,APAC,Connor Walsh,Megan Foster,2023-07-26,2024-07-25,384000,472000,88000,Renewal Up,No,,72,Yellow,90,77,66,66,65,77,Declining usage trend,"CSM: Connor Walsh delivered ROI report in Q3; executive team cited measurable value. AE: Megan Foster positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($88,000). Health: Yellow. Outcome: Renewal Up."
Quantum Services,001SOJRPP7R93FE,Healthcare,APAC,Natalie Bergmann,Ethan Graves,2023-07-29,2024-07-28,266000,266000,0,Renewal Flat,No,,61,Yellow,64,65,51,73,55,80,Integration stalled,CSM: Natalie Bergmann reports strong adoption and positive QBR outcomes. AE: Ethan Graves positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Zenith Group,001NKSEKNKBF2P7,Life Sciences,APAC,Derek Okafor,David Kim,2023-06-22,2024-06-21,111000,142000,31000,Renewal Up,No,,74,Yellow,68,71,85,79,70,95,Low executive engagement,"CSM: Derek Okafor established multi-threaded relationships across IT and business units. AE: David Kim closed renewal with a 27% ARR increase. Prediction: Likely to renew. ARR movement: up ($31,000). Health: Yellow. Outcome: Renewal Up."
Redwood Intelligence,00144EEW1YF0DWW,Real Estate,Northeast US,Aisha Patel,Alicia Torres,2023-11-27,2024-11-26,190000,243000,53000,Renewal Up,No,,95,Green,100,93,100,87,99,81,Declining usage trend,"CSM: Aisha Patel delivered ROI report in Q3; executive team cited measurable value. AE: Alicia Torres positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($53,000). Health: Green. Outcome: Renewal Up."
Zenith Software,001UGWUBUGR6E7G,Life Sciences,APAC,Derek Okafor,Brooke Sanders,2023-08-12,2024-08-11,75000,93000,18000,Renewal Up,No,,89,Green,88,76,99,91,93,84,Budget freeze flagged,"CSM: Derek Okafor reports strong adoption and positive QBR outcomes. AE: Brooke Sanders aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($18,000). Health: Green. Outcome: Renewal Up."
Catalyst Networks,001ATND9TKG1F8Y,Government,Northeast US,Priya Nair,Ryan Callahan,2023-04-14,2024-04-13,45000,45000,0,Renewal Flat,No,,64,Yellow,68,59,66,60,69,84,Competitor evaluation in progress,CSM: Priya Nair reports strong adoption and positive QBR outcomes. AE: Ryan Callahan is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Elevate Health,001VISS8JLTCBW6,Retail,LATAM,Tyler Henson,Megan Foster,2023-07-11,2024-07-10,60000,46000,-14000,Renewal Down,No,,87,Green,92,97,76,81,90,85,Champion departure risk,"CSM: Tyler Henson navigated a champion change successfully; new stakeholder is engaged. AE: Megan Foster secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: down ($14,000). Health: Green. Outcome: Renewal Down."
Crestview Services,001QAQ3K8A7RV4N,Life Sciences,France & Benelux,Derek Okafor,Samantha Lowe,2023-05-24,2024-05-23,155000,120000,-35000,Renewal Down,No,,67,Yellow,56,60,78,72,73,57,Missed QBR Q3,"CSM: Derek Okafor navigated a champion change successfully; new stakeholder is engaged. AE: Samantha Lowe positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: down ($35,000). Health: Yellow. Outcome: Renewal Down."
Crestview Innovations,001V8LYMJ1QI9MQ,Professional Services,DACH,Priya Nair,Ryan Callahan,2023-01-16,2024-01-16,77000,97000,20000,Renewal Up,No,,50,Yellow,65,37,58,42,50,54,Champion departure risk,"CSM: Priya Nair reports strong adoption and positive QBR outcomes. AE: Ryan Callahan positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($20,000). Health: Yellow. Outcome: Renewal Up."
Cirrus Analytics,001YM33MG1ZAQ7Q,Retail,Southeast US,Lauren Chu,Alicia Torres,2023-04-18,2024-04-17,26000,28000,2000,Renewal Up,No,,92,Green,96,85,100,98,83,83,Champion departure risk,"CSM: Lauren Chu proactively identified and resolved an integration risk ahead of renewal. AE: Alicia Torres positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($2,000). Health: Green. Outcome: Renewal Up."
Apex Innovations,0019WDJSGG0YVGV,Life Sciences,Southwest US,Lauren Chu,Samantha Lowe,2023-01-02,2024-01-02,265000,0,-265000,Churn,Yes,Data privacy concerns unresolved after multiple escalations,93,Green,99,100,84,82,100,97,Low executive engagement,"CSM: Lauren Chu noted declining usage for two quarters; remediation plan was not adopted. AE: Samantha Lowe competed against an incumbent re-entry; lost on total cost of ownership. Prediction: Account did not renew. Final ARR lost: $265,000. Reason: Data privacy concerns unresolved after multiple escalations"
Crestview Software,001YX4L4OESRSBZ,Education,Northeast US,Natalie Bergmann,Chloe Dupont,2023-05-08,2024-05-07,51000,58000,7000,Renewal Up,No,,74,Yellow,68,72,64,90,80,87,Low executive engagement,"CSM: Natalie Bergmann proactively identified and resolved an integration risk ahead of renewal. AE: Chloe Dupont is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($7,000). Health: Yellow. Outcome: Renewal Up."
Summit Software,001WBPA274IR833,Professional Services,DACH,James Thornton,Samantha Lowe,2023-03-07,2024-03-06,105000,0,-105000,Churn,Yes,Integration with core systems was never completed,20,Red,29,23,27,12,11,90,Low executive engagement,"CSM: James Thornton noted declining usage for two quarters; remediation plan was not adopted. AE: Samantha Lowe attempted a commercial restructure but the account chose not to renew. Prediction: Account did not renew. Final ARR lost: $105,000. Reason: Integration with core systems was never completed"
Pinnacle Analytics,001BVPDCB4OWO52,Telecommunications,UK & Ireland,Aisha Patel,Chloe Dupont,2023-02-22,2024-02-22,432000,510000,78000,Renewal Up,No,,91,Green,95,79,86,96,100,97,Low executive engagement,"CSM: Aisha Patel navigated a champion change successfully; new stakeholder is engaged. AE: Chloe Dupont is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($78,000). Health: Green. Outcome: Renewal Up."
Apex Cloud,001ZV46ESMRWGEB,Energy,LATAM,Aisha Patel,Ethan Graves,2023-01-05,2024-01-05,62000,80000,18000,Renewal Up,No,,78,Green,68,77,87,76,83,63,Declining usage trend,"CSM: Aisha Patel delivered ROI report in Q3; executive team cited measurable value. AE: Ethan Graves aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($18,000). Health: Green. Outcome: Renewal Up."
Indigo Platforms,001XFI3UBM9XHCG,Government,Canada,Connor Walsh,Samantha Lowe,2023-09-11,2024-09-10,163000,163000,0,Renewal Flat,No,,90,Green,92,100,84,93,83,87,Competitor evaluation in progress,CSM: Connor Walsh proactively identified and resolved an integration risk ahead of renewal. AE: Samantha Lowe is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Fusion Solutions,001WYQHR133NO3A,Healthcare,Midwest US,Sarah Mitchell,Ethan Graves,2023-03-31,2024-03-30,47000,29000,-18000,Renewal Down,No,,72,Yellow,69,61,75,73,84,79,Competitor evaluation in progress,"CSM: Sarah Mitchell navigated a champion change successfully; new stakeholder is engaged. AE: Ethan Graves aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: down ($18,000). Health: Yellow. Outcome: Renewal Down."
Fusion Enterprises,001ZMTGA46AYN2D,Education,LATAM,Connor Walsh,Brooke Sanders,2023-03-15,2024-03-14,578000,0,-578000,Churn,Yes,Data privacy concerns unresolved after multiple escalations,45,Red,47,31,56,42,51,55,Budget freeze flagged,"CSM: Connor Walsh flagged risk early but escalation support was delayed. AE: Brooke Sanders attempted a commercial restructure but the account chose not to renew. Prediction: Account did not renew. Final ARR lost: $578,000. Reason: Data privacy concerns unresolved after multiple escalations"
Horizon Innovations,001GNNV9IBWGT2L,Life Sciences,France & Benelux,Lauren Chu,David Kim,2023-07-18,2024-07-17,75000,97000,22000,Renewal Up,No,,88,Green,100,89,80,97,76,99,Champion departure risk,"CSM: Lauren Chu navigated a champion change successfully; new stakeholder is engaged. AE: David Kim positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($22,000). Health: Green. Outcome: Renewal Up."
Luminary Software,0011NSGZSR8RUW2,Media & Entertainment,Middle East,Derek Okafor,Brooke Sanders,2023-10-09,2024-10-08,306000,306000,0,Renewal Flat,No,,65,Yellow,64,58,61,65,80,64,Low NPS score,CSM: Derek Okafor delivered ROI report in Q3; executive team cited measurable value. AE: Brooke Sanders aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Atlas Partners,0011KSIBSMQPNRJ,Energy,Southeast US,Derek Okafor,Jason Whitmore,2023-03-02,2024-03-01,53000,72000,19000,Renewal Up,No,,75,Green,87,61,68,85,75,75,Integration stalled,"CSM: Derek Okafor navigated a champion change successfully; new stakeholder is engaged. AE: Jason Whitmore is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($19,000). Health: Green. Outcome: Renewal Up."
Summit Works,001BHHLK3YJZ991,Manufacturing,Middle East,Sarah Mitchell,Jason Whitmore,2023-04-27,2024-04-26,333000,254000,-79000,Renewal Down,No,,80,Green,84,71,89,71,85,77,None identified,"CSM: Sarah Mitchell navigated a champion change successfully; new stakeholder is engaged. AE: Jason Whitmore closed renewal with a 0% ARR increase. Prediction: Likely to renew. ARR movement: down ($79,000). Health: Green. Outcome: Renewal Down."
Fusion Capital,0010RS210Q2LG1Z,Education,Midwest US,Natalie Bergmann,Ryan Callahan,2023-08-03,2024-08-02,53000,73000,20000,Renewal Up,No,,91,Green,100,77,82,100,96,73,Champion departure risk,"CSM: Natalie Bergmann delivered ROI report in Q3; executive team cited measurable value. AE: Ryan Callahan secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($20,000). Health: Green. Outcome: Renewal Up."
Crestview Data,00111YKVUBF99U2,Retail,UK & Ireland,Aisha Patel,Nathan Webb,2023-03-29,2024-03-28,646000,843000,197000,Renewal Up,No,,51,Yellow,58,53,47,56,44,51,Low NPS score,"CSM: Aisha Patel delivered ROI report in Q3; executive team cited measurable value. AE: Nathan Webb is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($197,000). Health: Yellow. Outcome: Renewal Up."
Orion Data,001TBYRGC8KIXCC,Logistics,Midwest US,Marcus Rivera,Nathan Webb,2023-06-08,2024-06-07,96000,134000,38000,Renewal Up,No,,58,Yellow,48,61,57,59,67,46,Budget freeze flagged,"CSM: Marcus Rivera navigated a champion change successfully; new stakeholder is engaged. AE: Nathan Webb secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($38,000). Health: Yellow. Outcome: Renewal Up."
Crestview AI,001XFULHZQH9Q3V,Media & Entertainment,DACH,Tyler Henson,Chloe Dupont,2023-11-10,2024-11-09,46000,46000,0,Renewal Flat,No,,84,Green,74,96,75,82,93,100,Champion departure risk,CSM: Tyler Henson delivered ROI report in Q3; executive team cited measurable value. AE: Chloe Dupont closed renewal with a 0% ARR increase. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Elevate Dynamics,00160Q6GUO8I5JW,Insurance,DACH,James Thornton,Brooke Sanders,2023-03-26,2024-03-25,192000,261000,69000,Renewal Up,No,,74,Yellow,87,80,66,74,65,87,Single-threaded relationship,"CSM: James Thornton proactively identified and resolved an integration risk ahead of renewal. AE: Brooke Sanders closed renewal with a 35% ARR increase. Prediction: Likely to renew. ARR movement: up ($69,000). Health: Yellow. Outcome: Renewal Up."
Ascend Innovations,001SQCZ0N04OAE7,Media & Entertainment,Southeast US,Connor Walsh,Chloe Dupont,2023-01-10,2024-01-10,170000,197000,27000,Renewal Up,No,,61,Yellow,59,63,49,64,72,56,Declining usage trend,"CSM: Connor Walsh navigated a champion change successfully; new stakeholder is engaged. AE: Chloe Dupont secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($27,000). Health: Yellow. Outcome: Renewal Up."
Parallax Group,001GE0GYAJPGZ6T,Logistics,APAC,Natalie Bergmann,Megan Foster,2023-04-13,2024-04-12,81000,115000,34000,Renewal Up,No,,63,Yellow,70,57,75,56,57,80,Budget freeze flagged,"CSM: Natalie Bergmann delivered ROI report in Q3; executive team cited measurable value. AE: Megan Foster secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($34,000). Health: Yellow. Outcome: Renewal Up."
Atlas Solutions,001P9MGYH523GGO,Energy,Southwest US,Marcus Rivera,Ethan Graves,2023-06-15,2024-06-14,45000,45000,0,Renewal Flat,No,,92,Green,82,100,93,88,100,89,Single-threaded relationship,CSM: Marcus Rivera reports strong adoption and positive QBR outcomes. AE: Ethan Graves aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Catalyst Solutions,001OLOQC3XNCHKV,Technology,West Coast US,Natalie Bergmann,Samantha Lowe,2023-02-04,2024-02-04,526000,526000,0,Renewal Flat,No,,59,Yellow,62,53,63,65,55,64,Declining usage trend,CSM: Natalie Bergmann delivered ROI report in Q3; executive team cited measurable value. AE: Samantha Lowe closed renewal with a 0% ARR increase. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Ember Solutions,001VVNXIV9IW6L0,Education,DACH,Sarah Mitchell,David Kim,2023-03-10,2024-03-09,240000,309000,69000,Renewal Up,No,,64,Yellow,61,59,67,61,75,56,Open critical support tickets,"CSM: Sarah Mitchell proactively identified and resolved an integration risk ahead of renewal. AE: David Kim aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($69,000). Health: Yellow. Outcome: Renewal Up."
Stratos Health,001B2O31I0MHB79,Real Estate,Canada,Tyler Henson,Nathan Webb,2023-03-06,2024-03-05,313000,335000,22000,Renewal Up,No,,60,Yellow,62,68,48,50,75,63,Single-threaded relationship,"CSM: Tyler Henson navigated a champion change successfully; new stakeholder is engaged. AE: Nathan Webb secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($22,000). Health: Yellow. Outcome: Renewal Up."
Atlas Dynamics,001V37IC0LZIGIK,Life Sciences,LATAM,Derek Okafor,Jason Whitmore,2023-09-04,2024-09-03,156000,195000,39000,Renewal Up,No,,80,Green,69,97,78,79,79,72,Champion departure risk,"CSM: Derek Okafor proactively identified and resolved an integration risk ahead of renewal. AE: Jason Whitmore secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($39,000). Health: Green. Outcome: Renewal Up."
Vertex Health,001N417VF0JQQNV,Technology,Southern Europe,Connor Walsh,Brooke Sanders,2023-07-16,2024-07-15,33000,47000,14000,Renewal Up,No,,62,Yellow,49,49,76,65,72,72,Competitor evaluation in progress,"CSM: Connor Walsh proactively identified and resolved an integration risk ahead of renewal. AE: Brooke Sanders aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($14,000). Health: Yellow. Outcome: Renewal Up."
Stratos Platforms,001C59E7F1811MZ,Insurance,UK & Ireland,Sarah Mitchell,Nathan Webb,2023-11-06,2024-11-05,388000,412000,24000,Renewal Up,No,,67,Yellow,59,67,53,81,78,63,None identified,"CSM: Sarah Mitchell navigated a champion change successfully; new stakeholder is engaged. AE: Nathan Webb aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($24,000). Health: Yellow. Outcome: Renewal Up."
Elevate Cloud,001UXFEDZNZ9C65,Real Estate,France & Benelux,Lauren Chu,Jason Whitmore,2023-05-18,2024-05-17,52000,39000,-13000,Renewal Down,No,,95,Green,100,91,97,88,100,92,Single-threaded relationship,"CSM: Lauren Chu delivered ROI report in Q3; executive team cited measurable value. AE: Jason Whitmore secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: down ($13,000). Health: Green. Outcome: Renewal Down."
Beacon Innovations,0017OL93ACZSX0G,Media & Entertainment,Midwest US,Priya Nair,Brooke Sanders,2023-05-13,2024-05-12,165000,165000,0,Renewal Flat,No,,87,Green,99,72,83,87,95,75,Declining usage trend,CSM: Priya Nair navigated a champion change successfully; new stakeholder is engaged. AE: Brooke Sanders secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Sterling Analytics,001WW5FKNJMVRYD,Telecommunications,Northeast US,Sarah Mitchell,Samantha Lowe,2023-06-22,2024-06-21,73000,99000,26000,Renewal Up,No,,54,Yellow,49,59,68,43,55,62,Integration stalled,"CSM: Sarah Mitchell proactively identified and resolved an integration risk ahead of renewal. AE: Samantha Lowe closed renewal with a 35% ARR increase. Prediction: Likely to renew. ARR movement: up ($26,000). Health: Yellow. Outcome: Renewal Up."
Parallax Networks,001MYMLINOV953A,Professional Services,Southeast US,Priya Nair,Ryan Callahan,2023-07-31,2024-07-30,405000,536000,131000,Renewal Up,No,,92,Green,78,100,92,94,96,77,Competitor evaluation in progress,"CSM: Priya Nair proactively identified and resolved an integration risk ahead of renewal. AE: Ryan Callahan positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($131,000). Health: Green. Outcome: Renewal Up."
Cirrus Innovations,001AW7LW580YIR0,Energy,Middle East,Aisha Patel,Chloe Dupont,2023-01-17,2024-01-17,378000,528000,150000,Renewal Up,No,,93,Green,100,84,100,93,90,100,Open critical support tickets,"CSM: Aisha Patel established multi-threaded relationships across IT and business units. AE: Chloe Dupont positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($150,000). Health: Green. Outcome: Renewal Up."
Horizon Intelligence,0012KYT5GQEXIH1,Government,Northeast US,James Thornton,Nathan Webb,2023-12-10,2024-12-09,245000,245000,0,Renewal Flat,No,,68,Yellow,76,76,57,75,59,71,Missed QBR Q3,CSM: James Thornton delivered ROI report in Q3; executive team cited measurable value. AE: Nathan Webb closed renewal with a 0% ARR increase. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Zenith Data,001ET0DY571VXNZ,Telecommunications,Southwest US,Natalie Bergmann,Nathan Webb,2023-07-08,2024-07-07,395000,563000,168000,Renewal Up,No,,56,Yellow,59,54,60,53,54,53,Competitor evaluation in progress,"CSM: Natalie Bergmann reports strong adoption and positive QBR outcomes. AE: Nathan Webb positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($168,000). Health: Yellow. Outcome: Renewal Up."
Horizon Labs,0018UACT49LNY2S,Financial Services,France & Benelux,James Thornton,Nathan Webb,2023-11-04,2024-11-03,313000,0,-313000,Churn,Yes,Support response times consistently fell below SLA,47,Red,42,36,58,62,41,42,Open critical support tickets,"CSM: James Thornton submitted a save plan in Q2; procurement rejected renewal terms. AE: Nathan Webb engaged VP-level stakeholders late in the cycle with insufficient time to turn it around. Prediction: Account did not renew. Final ARR lost: $313,000. Reason: Support response times consistently fell below SLA"
Bedrock Partners,001043BLSYJ4UWH,Telecommunications,Canada,Aisha Patel,Ryan Callahan,2023-07-20,2024-07-19,198000,212000,14000,Renewal Up,No,,66,Yellow,72,68,52,73,69,75,Open critical support tickets,"CSM: Aisha Patel navigated a champion change successfully; new stakeholder is engaged. AE: Ryan Callahan closed renewal with a 7% ARR increase. Prediction: Likely to renew. ARR movement: up ($14,000). Health: Yellow. Outcome: Renewal Up."
Vanguard Solutions,001TMY91OTKZH4O,Life Sciences,Southern Europe,Tyler Henson,Ryan Callahan,2023-04-22,2024-04-21,73000,85000,12000,Renewal Up,No,,94,Green,91,96,100,87,100,86,Champion departure risk,"CSM: Tyler Henson navigated a champion change successfully; new stakeholder is engaged. AE: Ryan Callahan secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($12,000). Health: Green. Outcome: Renewal Up."
Beacon Software,001A0UY9F8P47D9,Energy,Canada,James Thornton,Ethan Graves,2023-03-30,2024-03-29,28000,20000,-8000,Renewal Down,No,,88,Green,87,78,94,97,86,81,Low executive engagement,"CSM: James Thornton delivered ROI report in Q3; executive team cited measurable value. AE: Ethan Graves positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: down ($8,000). Health: Green. Outcome: Renewal Down."
Stratos Capital,001NY2X15XJXNEC,Financial Services,Nordics,Natalie Bergmann,Brooke Sanders,2023-11-27,2024-11-26,160000,0,-160000,Churn,Yes,Company acquired — acquirer had existing vendor contract,56,Yellow,57,54,47,61,62,58,Low NPS score,"CSM: Natalie Bergmann submitted a save plan in Q2; procurement rejected renewal terms. AE: Brooke Sanders competed against an incumbent re-entry; lost on total cost of ownership. Prediction: Account did not renew. Final ARR lost: $160,000. Reason: Company acquired — acquirer had existing vendor contract"
Aether Networks,001KELZ5TOZO32T,Telecommunications,LATAM,Natalie Bergmann,Megan Foster,2023-03-04,2024-03-03,62000,65000,3000,Renewal Up,No,,67,Yellow,80,71,78,53,55,77,Low NPS score,"CSM: Natalie Bergmann proactively identified and resolved an integration risk ahead of renewal. AE: Megan Foster aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($3,000). Health: Yellow. Outcome: Renewal Up."
Nexus Partners,001UXDJ1DEK8G9X,Energy,France & Benelux,Natalie Bergmann,Jason Whitmore,2023-05-02,2024-05-01,27000,34000,7000,Renewal Up,No,,78,Green,69,83,80,87,75,81,Competitor evaluation in progress,"CSM: Natalie Bergmann reports strong adoption and positive QBR outcomes. AE: Jason Whitmore is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($7,000). Health: Green. Outcome: Renewal Up."
Meridian Global,0014HETVJ0PTJXF,Government,Midwest US,Lauren Chu,Nathan Webb,2023-12-03,2024-12-02,195000,195000,0,Renewal Flat,No,,82,Green,77,73,91,94,79,91,None identified,CSM: Lauren Chu delivered ROI report in Q3; executive team cited measurable value. AE: Nathan Webb positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Stratos Consulting,001VPF9PAVCEDTC,Technology,Middle East,Marcus Rivera,Jason Whitmore,2023-10-29,2024-10-28,385000,423000,38000,Renewal Up,No,,57,Yellow,59,51,54,63,58,63,Single-threaded relationship,"CSM: Marcus Rivera established multi-threaded relationships across IT and business units. AE: Jason Whitmore aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($38,000). Health: Yellow. Outcome: Renewal Up."
Indigo Works,001Z5TV6G8OM08T,Professional Services,Midwest US,Aisha Patel,Chloe Dupont,2023-01-28,2024-01-28,183000,0,-183000,Churn,Yes,Company acquired — acquirer had existing vendor contract,80,Green,68,89,84,90,72,89,Declining usage trend,"CSM: Aisha Patel submitted a save plan in Q2; procurement rejected renewal terms. AE: Chloe Dupont offered a significant discount; budget freeze made renewal untenable. Prediction: Account did not renew. Final ARR lost: $183,000. Reason: Company acquired — acquirer had existing vendor contract"
Radiant Software,0019ZIVZG92SJP7,Manufacturing,UK & Ireland,Lauren Chu,Megan Foster,2023-05-27,2024-05-26,317000,354000,37000,Renewal Up,No,,67,Yellow,84,59,77,59,59,80,Open critical support tickets,"CSM: Lauren Chu reports strong adoption and positive QBR outcomes. AE: Megan Foster is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($37,000). Health: Yellow. Outcome: Renewal Up."
Solara Intelligence,0013A8Y7ERYYTEA,Government,France & Benelux,Sarah Mitchell,Nathan Webb,2023-12-12,2024-12-11,72000,77000,5000,Renewal Up,No,,81,Green,66,82,80,89,88,85,Integration stalled,"CSM: Sarah Mitchell proactively identified and resolved an integration risk ahead of renewal. AE: Nathan Webb secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($5,000). Health: Green. Outcome: Renewal Up."
